endereco	nivel	bytes	chamado_por	chama	papel
0x00403278	2	270	0x00403f00,0x0040756c,0x0040a0b4		
0x00403388	2	50	0x004033bc,0x004042d4,0x0040b2d8		pula a fronteira de setor: se `ftell % 2352 == 2072`, avanca 304
0x004033bc	1	67	MainForm.mostrar_estrategiaClick,0x00403f00,0x004046e8,0x004050d0,0x00405468	0x00417810,0x00418f70,0x00403388	le `ecx` bytes da imagem a partir do offset em `edx` para o destino empilhado
0x00403400	2	72	0x00404820		grava `ecx` bytes na imagem a partir do offset em `edx` — a irma escritora da `0x004033bc`
0x00403598	2	1201	0x0040bb84,0x0040cbc8		
0x00403c0c	2	447	0x0040bb84,0x0040cbc8		
0x00403f00	1	328	MainForm.mostrar_jugadorClick,0x00404820,0x0040b0b4	0x004033bc,0x00403278,0x00417810,0x00418f70	le o numero de camisa e devolve **base um** (`inc eax` nos tres ramos: time 48, clube de ML, selecao)
0x00404048	2	365	0x00404820		grava o numero de camisa, desfazendo a base um (`add al,0xff`)
0x0040423c	2	64	0x004042d4,0x00404820		
0x0040427c	2	87	0x00404820		
0x004042d4	1	159	MainForm.boton_dialogo_weClick,MainForm.FormShow	0x004153c4,0x00417810,0x00403388,0x00418f70,0x0040423c	
0x00404374	2	881	0x004046e8,0x00404820,0x0040b2d8		prepara um buffer de jogador: identidade (`+0x16`, `+0x17`), tipo (`+0x19`) e as tres colunas de offset na imagem. A identidade e `(time, slot)` para selecao e o PAR DE VINCULO lido do arquivo para clube de ML; a coluna `+0x28` sai ZERO para os times 54 e 55, que e o mesmo furo que o `we2002_database.pas` pula ao carregar `cost` (jogadores 1704..1749)
0x004046e8	1	164	MainForm.mostrar_jugadorClick	0x00404374,0x004033bc	carrega um jogador para o buffer de 44 bytes em `0x004335ec` — 10 B de nome, 12 B de atributos, e 1 B que so existe se a terceira coluna da tabela de offsets nao for zero (senao vai 50)
0x00404820	1	1459	MainForm.mostrar_jugadorClick	0x00415718,0x00404374,0x0040423c,0x00403f00,0x00403400,0x00417810,0x00416fc8,0x00404048,0x0040427c,0x0041978c,0x00421870,0x0042120c,0x004213f8,0x004213b4	**grava** um jogador do buffer no destino — 10 B de nome, 12 B de atributos, e o byte condicional; recusa com `-2` se a identidade (`+0x16`, `+0x17`) do buffer bater com a do destino
0x00404dd4	2	154	0x00405270,0x00405468,0x004056c8		
0x00404e70	2	285	0x004050d0		
0x00404f90	2	318	0x004050d0		
0x004050d0	1	209	MainForm.lista_equiposChange	0x00404e70,0x004033bc,0x00404f90	carrega da imagem o bloco de cor do time — bandeira, os dois uniformes, as oito chuteiras, a quarta paleta, a forma e o padrão — para o slot 0, e o espelha no slot 1
0x00405270	1	502	MainForm.lista_equiposChange	0x00415718,0x0041978c,0x0042120c,0x004213f8,0x004213b4,0x00417530,0x00417810,0x00404dd4,0x00418f98,0x00417170	desenha a bandeira 2D — [WTE-TASK-29](../../docs/tasks/concluidos/29-camisa-e-bandeira-2d.md)
0x00405468	1	606	MainForm.lista_equipos_2Change	0x00415718,0x004033bc,0x0041978c,0x0042120c,0x004213f8,0x004213b4,0x00417530,0x00417810,0x00404dd4,0x00418f98,0x00417170	
0x004056c8	1	1034	MainForm.lista_equiposChange	0x00415718,0x0041978c,0x0042120c,0x004213f8,0x004213e4,0x004213b4,0x00417530,0x00417810,0x00404dd4,0x00418f98,0x00417170	desenha o uniforme 2D — [WTE-TASK-29](../../docs/tasks/concluidos/29-camisa-e-bandeira-2d.md)
0x00406fb4	2	44	0x0040756c		
0x00406fe0	2	301	0x0040756c		
0x00407110	2	552	0x0040756c		
0x00407338	2	561	0x0040756c		
0x0040756c	1	1275	MainForm.mostrar_jugadorClick	0x00415718,0x00403278,0x00421370,0x00421870,0x004213b4,0x00406fb4,0x00406fe0,0x00407110,0x00407338,0x0042120c	
0x004097d4	1	474	estrategia.lista_formacionesClick,0x0040a0b4	0x00415718,0x0041978c,0x00421870,0x004213b4	
0x004099bc	1	227	estrategia.lista_formacionesClick,0x0040a0b4	0x00415718,0x00421370,0x00421870,0x004213b4	
0x0040a0b4	1	1443	MainForm.mostrar_estrategiaClick	0x00415718,0x00421678,0x00421370,0x00421870,0x004213b4,0x004097d4,0x004099bc,0x00403278	
0x0040b0b4	1	210	MainForm.lista_equiposChange	0x00415718,0x00421370,0x00421870,0x00403f00,0x004213b4	preenche as 23 legendas `dorsalN` com os numeros de camisa
0x0040b188	1	335	MainForm.lista_equiposChange,MainForm.lista_jugadores_1Change	0x00415718,0x00421370,0x00421870,0x004213b4	marca a camisa N: apaga a marcada, acha a nova por `FindComponent`, destaca
0x0040b2d8	1	1548	MainForm.lista_equiposChange,MainForm.lista_equipos_2Change,MainForm.mostrar_jugadorClick	0x00415718,0x0041498c,0x00404374,0x00417810,0x0042120c,0x004213e4,0x004213b4,0x00403388,0x00418f70,0x004213f8,0x00421370,0x004212dc,0x0041978c,0x00421580,0x0041482c	preenche `lista_jugadores_1` com os 23 nomes, filtrados
0x0040b9ec	1	407	MainForm.boton_mcrClick	0x00417810,0x00418f70	
0x0040bb84	1	475	MainForm.boton_dialogo_weClick,MainForm.FormShow	0x00415718,0x00403c0c,0x0041978c,0x0042120c,0x004213f8,0x00403598,0x004213e4,0x004213b4,0x00421580	
0x0040cbc8	1	419	MainForm.lista_equiposChange	0x00415718,0x00403c0c,0x00403598,0x004213b4	percorre a tabela de offsets em `.data`, seis colunas por linha
0x00414570	2	15	0x004213b4		
0x0041482c	1	36	estrategia.ComboBoxDrawItem,0x0040b2d8	0x00414850	
0x00414850	2	315	0x0041482c		
0x0041498c	2	443	0x0040b2d8		
0x00414d98	2	16	0x00417170		
0x004153c4	2	138	0x004042d4		
0x00415718	1	?	jugador.FormCreate,estrategia.FormCreate,estrategia.ComboBoxDrawItem,MainForm.boton_dialogo_weClick,MainForm.boton_mcrClick,MainForm.lista_equiposChange,MainForm.boton_dialogo_texClick,MainForm.mostrar_jugadorClick,MainForm.mostrar_estrategiaClick,MainForm.FormCreate,MainForm.FormShow,0x00404820,0x00405270,0x00405468,0x004056c8,0x0040756c,0x004097d4,0x004099bc,0x0040a0b4,0x0040b0b4,0x0040b188,0x0040b2d8,0x0040bb84,0x0040cbc8		
0x00416660	2	117	0x00417170		
0x004167b8	2	132	0x00417810		
0x00416fc8	2	29	0x00404820		
0x00417170	1	159	MainForm.boton_dialogo_texClick,0x00405270,0x00405468,0x004056c8	0x004183e0,0x00417218,0x00414d98,0x00416660,0x00418080,0x004184fc,0x004184a8	
0x00417210	1	5	MainForm.boton_dialogo_weClick,MainForm.boton_mcrClick,MainForm.boton_dialogo_texClick,MainForm.FormShow		
0x00417218	2	143	0x00417170,0x00417810		
0x004172a8	1	73	MainForm.boton_dialogo_weClick,MainForm.boton_mcrClick,MainForm.boton_dialogo_texClick,MainForm.FormShow	0x00417d50,0x0041799c,0x00417dbc,0x00417a30	
0x00417458	2	169	0x00417530		
0x00417504	2	42	0x00417530		
0x00417530	1	51	MainForm.boton_dialogo_weClick,MainForm.FormShow,0x00405270,0x00405468,0x004056c8	0x004183c0,0x00417504,0x00417458,0x004183d0	
0x00417564	2	217	0x00417910		
0x00417640	2	303	0x00417770		
0x00417770	1	67	MainForm.boton_dialogo_weClick,MainForm.FormShow	0x004183e0,0x00417640,0x004184a8	
0x004177b4	2	90	0x00417810		
0x00417810	1	115	MainForm.boton_dialogo_weClick,MainForm.lista_equiposChange,MainForm.FormShow,0x004033bc,0x00403f00,0x004042d4,0x00404820,0x00405270,0x00405468,0x004056c8,0x0040b2d8,0x0040b9ec	0x00417218,0x004183e0,0x004177b4,0x004167b8,0x004184a8	`fseek` da RTL
0x00417910	1	69	MainForm.boton_dialogo_weClick,MainForm.FormShow	0x004183e0,0x00417564,0x004184a8	
0x0041799c	2	148	0x004172a8		
0x00417a30	2	69	0x004172a8		
0x00417d50	2	76	0x004172a8		
0x00417dbc	2	18	0x004172a8		
0x00417e88	2	230	0x00418f70		
0x00417f70	2	272	0x00418f98		
0x00418080	2	88	0x00417170		
0x0041811c	1	5	MainForm.boton_dialogo_weClick,MainForm.boton_mcrClick,MainForm.boton_dialogo_texClick,MainForm.FormShow		
0x004183c0	2	13	0x00417530		
0x004183d0	2	13	0x00417530		
0x004183e0	2	164	0x00417170,0x00417770,0x00417810,0x00417910,0x00418f70,0x00418f98		
