formulario	offset	campo	classe
MainForm	0x02f0	lista_equipos	TComboBox
MainForm	0x02f4	cuadro_dialogo_we	TGroupBox
MainForm	0x02f8	dialogo_we	TOpenDialog
MainForm	0x02fc	grupo_memorycard	TGroupBox
MainForm	0x0300	dialogo_mcr	TOpenDialog
MainForm	0x0304	texto_mcr	TStaticText
MainForm	0x0308	etiqueta_mcr	TStaticText
MainForm	0x030c	grupo_barras	TGroupBox
MainForm	0x0310	sel_barra0	TRadioButton
MainForm	0x0314	sel_barra1	TRadioButton
MainForm	0x0318	sel_barra2	TRadioButton
MainForm	0x031c	sel_barra3	TRadioButton
MainForm	0x0320	sel_barra4	TRadioButton
MainForm	0x0324	Shape1	TShape
MainForm	0x0328	Shape2	TShape
MainForm	0x032c	Shape4	TShape
MainForm	0x0330	Shape5	TShape
MainForm	0x0334	Shape6	TShape
MainForm	0x0338	barra0	TImage
MainForm	0x033c	barra1	TImage
MainForm	0x0340	barra2	TImage
MainForm	0x0344	barra3	TImage
MainForm	0x0348	barra4	TImage
MainForm	0x034c	grupo_nombre	TGroupBox
MainForm	0x0350	etiq_nombre1	TLabel
MainForm	0x0354	etiq_nombre2	TLabel
MainForm	0x0358	etiq_nombre3	TLabel
MainForm	0x035c	edit_nombre1	TEdit
MainForm	0x0360	edit_nombre2	TEdit
MainForm	0x0364	edit_nombre3	TEdit
MainForm	0x0368	etiqueta_juego	TStaticText
MainForm	0x036c	texto_dialogo_we	TStaticText
MainForm	0x0370	GroupBox3	TGroupBox
MainForm	0x0374	StaticText1	TStaticText
MainForm	0x0378	Image1	TImage
MainForm	0x037c	dialogo_tex	TOpenDialog
MainForm	0x0380	GroupBox1	TGroupBox
MainForm	0x0384	lista_equipos_2	TComboBox
MainForm	0x0388	lista_jugadores_1	TComboBox
MainForm	0x038c	lista_jugadores_2	TComboBox
MainForm	0x0390	lista_equipos_1	TComboBox
MainForm	0x0394	paderecha	TSpeedButton
MainForm	0x0398	paizquierda	TSpeedButton
MainForm	0x039c	paderechaeizquierda	TSpeedButton
MainForm	0x03a0	pabajo	TSpeedButton
MainForm	0x03a4	parriba	TSpeedButton
MainForm	0x03a8	lista_descarte	TListBox
MainForm	0x03ac	base_team	TStaticText
MainForm	0x03b0	help_team	TStaticText
MainForm	0x03b4	Image2	TImage
MainForm	0x03b8	texto_dialogo_tex	TStaticText
MainForm	0x03bc	etiqueta_camiseta	TStaticText
MainForm	0x03c0	dialogo_grabar_camiseta	TSaveDialog
MainForm	0x03c4	dialogo_grabar_memory	TSaveDialog
MainForm	0x03c8	dorsal1	TStaticText
MainForm	0x03cc	dorsal2	TStaticText
MainForm	0x03d0	dorsal3	TStaticText
MainForm	0x03d4	dorsal4	TStaticText
MainForm	0x03d8	dorsal5	TStaticText
