formulario	alcance_port	foto_oraculo	foto_port	fundo_oraculo	fundo_port	statictext	statictext_no_fundo_oraculo	statictext_no_fundo_port	rotulos_com_cor	rotulos_divergentes	quais_divergem
MainForm	(principal)	522x475	522x475	#76B6FF	#76B6FF	34	5	4	27	0	—
estrategia	ep2002_mainform.mostrar_estrategiaClick.inc	529x498	529x498	#418FE6	#418FE6	0	0	0	43	18	etiqestr1,etiqestr3,etiqestr5,etiqestr7,etiqestr9,etiqestr11,jugador1,jugador3,jugador5,jugador7,jugador9,jugador11,etiqpos1,etiqpos3,etiqpos5,etiqpos7,etiqpos9,etiqpos11
ficha_about	ep2002_mainform.SpeedButton1Click.inc	319x274	319x274	#39DADB	#39DADB	0	0	0	0	0	—
ficha_color	ep2002_mainform.colorearClick.inc	542x225	542x225	#418FE6	#418FE6	3	3	3	34	18	seleccion,colcop0,colcop1,colcop2,colcop3,colcop4,colcop5,colcop6,colcop7,colcop8,colcop9,colcop10,colcop11,colcop12,colcop13,colcop14,colcop15,colcop16
ficha_creditos_equipo	ep2002_mainform.base_teamClick.inc	285x124	285x124	#DCDC3C	#DCDC3C	0	0	0	0	0	—
ficha_dorsal	ep2002_mainform.dorsalClick.inc	135x153	129x121	#418FE6	#418FE6	0	0	0	1	1	etiq_dorsal
ficha_enlaza	—	—	—	—	—	0	—	—	0	—	—
ficha_error	ep2002_mainform.aux.inc	335x121	329x89	#000080	#000080	0	0	0	0	0	—
ficha_error2	ep2002_estrategia.BitBtn3Click.inc,ep2002_jugador.BitBtn3Click.inc,ep2002_mainform.boton_nombres2isoClick.inc,ep2002_mainform.grabar_camisetaClick.inc,ep2002_mainform.grabar_memoryClick.inc,ep2002_mainform.pabajoClick.inc	382x122	376x90	#000080	#000080	0	0	0	0	0	—
ficha_info	ep2002_color.SpeedButton1Click.inc	264x196	258x164	#3CDCDC	#3CDCDC	0	0	0	5	0	—
ficha_info2	ep2002_error.SpeedButton1Click.inc	414x189	408x157	#3CDCDC	#3CDCDC	0	0	0	5	0	—
ficha_info3	ep2002_mainform.base_teamClick.inc,ep2002_mainform.boton_barras2isoClick.inc,ep2002_mainform.boton_nombres2isoClick.inc,ep2002_mainform.boton_tex2isoClick.inc,ep2002_mainform.grabar_camisetaClick.inc,ep2002_mainform.grabar_memoryClick.inc	282x113	276x81	#3CDCDC	#3CDCDC	0	0	0	1	0	—
ficha_info4	wte_ficha.pas	—	—	—	—	0	—	—	3	—	—
ficha_movertodos	ep2002_mainform.aux.inc	239x124	239x124	#DCDC3C	#DCDC3C	0	0	0	0	0	—
ficha_salida	ep2002_mainform.SpeedButton2Click.inc	231x122	225x90	#DCDC3C	#DCDC3C	0	0	0	0	0	—
ficha_warning	—	339x169	—	#DC3C3C	—	0	0	—	0	—	—
ficha_warning_2	ep2002_estrategia.BitBtn3Click.inc	340x172	340x172	#DC3C3C	#DC3C3C	0	0	0	0	0	—
jugador	ep2002_mainform.mostrar_jugadorClick.inc	707x273	707x273	#418FE6	#418FE6	0	0	0	59	31	etiqhab2,valorhab2,etiqhab4,valorhab4,etiqhab6,valorhab6,etiqhab8,valorhab8,etiqhab10,valorhab10,etiqhab12,valorhab12,etiqhab14,valorhab14,etiqhab16,valorhab16,etiqprecio,etiqapa1,valorapa1,etiqapa3,valorapa3,etiqapa5,valorapa5,etiqapa7,valorapa7,etiqapa9,valorapa9,etiqapa11,valorapa11,etiqnombre,etiqdorsal
