imagem	sessao	inicio	fim	tamanho	setor	byte_no_setor
golden-european-deluxe.bin	06-diff-dirigido	11796	13831	2036	5	36
golden-european-deluxe.bin	06-diff-dirigido	14136	16183	2048	6	24
golden-european-deluxe.bin	06-diff-dirigido	16488	18535	2048	7	24
golden-european-deluxe.bin	06-diff-dirigido	18840	20887	2048	8	24
golden-european-deluxe.bin	06-diff-dirigido	21192	23239	2048	9	24
golden-european-deluxe.bin	06-diff-dirigido	23544	25591	2048	10	24
golden-european-deluxe.bin	06-diff-dirigido	25896	26527	632	11	24
truncada-474431328.bin	06-truncada	11796	13831	2036	5	36
truncada-474431328.bin	06-truncada	14136	16183	2048	6	24
truncada-474431328.bin	06-truncada	16488	18535	2048	7	24
truncada-474431328.bin	06-truncada	18840	20887	2048	8	24
truncada-474431328.bin	06-truncada	21192	23239	2048	9	24
truncada-474431328.bin	06-truncada	23544	25591	2048	10	24
truncada-474431328.bin	06-truncada	25896	26527	632	11	24
japanese-shift-jis.bin	09-areas-com-time	11796	13831	2036	5	36
japanese-shift-jis.bin	09-areas-com-time	14136	16183	2048	6	24
japanese-shift-jis.bin	09-areas-com-time	16488	18535	2048	7	24
japanese-shift-jis.bin	09-areas-com-time	18840	20887	2048	8	24
japanese-shift-jis.bin	09-areas-com-time	21192	23239	2048	9	24
japanese-shift-jis.bin	09-areas-com-time	23544	25591	2048	10	24
japanese-shift-jis.bin	09-areas-com-time	25896	26527	632	11	24
japanese-shift-jis.bin	09-areas-com-time	1013936	1013942	7	431	224
japanese-shift-jis.bin	09-areas-com-time	1882896	1882902	7	800	1296
japanese-shift-jis.bin	09-areas-com-time	1921862	1921862	1	817	278
japanese-shift-jis.bin	09-areas-com-time	2004988	2004994	7	852	1084
japanese-shift-jis.bin	09-areas-com-time	2005372	2005374	3	852	1468
japanese-shift-jis.bin	09-areas-com-time	2012984	2012985	2	855	2024
japanese-shift-jis.bin	09-areas-com-time	2830940	2830946	7	1203	1484
japanese-shift-jis.bin	09-areas-com-time	3067404	3067426	23	1304	396
japanese-shift-jis.bin	09-areas-com-time	4234860	4234862	3	1800	1260
japanese-shift-jis.bin	09-areas-com-time	5651444	5651446	3	2402	1940
japanese-shift-jis.bin	09-areas-com-time	5652644	5652650	7	2403	788
japanese-shift-jis.bin	09-areas-com-time	12549519	12549519	1	5335	1599
japanese-shift-jis.bin	10-telas-que-faltavam	11796	13831	2036	5	36
japanese-shift-jis.bin	10-telas-que-faltavam	14136	16183	2048	6	24
japanese-shift-jis.bin	10-telas-que-faltavam	16488	18535	2048	7	24
japanese-shift-jis.bin	10-telas-que-faltavam	18840	20887	2048	8	24
japanese-shift-jis.bin	10-telas-que-faltavam	21192	23239	2048	9	24
japanese-shift-jis.bin	10-telas-que-faltavam	23544	25591	2048	10	24
japanese-shift-jis.bin	10-telas-que-faltavam	25896	26527	632	11	24
japanese-shift-jis.bin	10-telas-que-faltavam	1921862	1921862	1	817	278
japanese-shift-jis.bin	10-telas-que-faltavam	2012984	2012985	2	855	2024
japanese-shift-jis.bin	11-varredura-de-times	11796	13831	2036	5	36
japanese-shift-jis.bin	11-varredura-de-times	14136	16183	2048	6	24
japanese-shift-jis.bin	11-varredura-de-times	16488	18535	2048	7	24
japanese-shift-jis.bin	11-varredura-de-times	18840	20887	2048	8	24
japanese-shift-jis.bin	11-varredura-de-times	21192	23239	2048	9	24
japanese-shift-jis.bin	11-varredura-de-times	23544	25591	2048	10	24
japanese-shift-jis.bin	11-varredura-de-times	25896	26527	632	11	24
japanese-shift-jis.bin	11-varredura-de-times	1921862	1921862	1	817	278
japanese-shift-jis.bin	11-varredura-de-times	2012984	2012985	2	855	2024
japanese-shift-jis.bin	27-gravacao-controle	11796	13831	2036	5	36
japanese-shift-jis.bin	27-gravacao-controle	14136	16183	2048	6	24
japanese-shift-jis.bin	27-gravacao-controle	16488	18535	2048	7	24
japanese-shift-jis.bin	27-gravacao-controle	18840	20887	2048	8	24
japanese-shift-jis.bin	27-gravacao-controle	21192	23239	2048	9	24
japanese-shift-jis.bin	27-gravacao-controle	23544	25591	2048	10	24
japanese-shift-jis.bin	27-gravacao-controle	25896	26527	632	11	24
japanese-shift-jis.bin	27-gravacao-controle	1882884	1882891	8	800	1284
japanese-shift-jis.bin	27-gravacao-controle	1921862	1921862	1	817	278
japanese-shift-jis.bin	27-gravacao-controle	2012984	2012985	2	855	2024
japanese-shift-jis.bin	27-gravacao-controle	2830932	2830938	7	1203	1476
japanese-shift-jis.bin	27-gravacao-controle	5652636	5652642	7	2403	780
japanese-shift-jis.bin	27-descarga-sem	11796	13831	2036	5	36
japanese-shift-jis.bin	27-descarga-sem	14136	16183	2048	6	24
japanese-shift-jis.bin	27-descarga-sem	16488	18535	2048	7	24
