roteiro	handler	disparos
golden-01-arranque	MainForm.FormCreate	1
golden-01-arranque	MainForm.FormShow	1
golden-01-arranque	ficha_about.FormCreate	1
golden-01-arranque	ficha_color.FormCreate	1
golden-01-arranque	ficha_creditos_equipo.FormCreate	1
golden-01-arranque	ficha_dorsal.FormCreate	1
golden-01-arranque	ficha_enlaza.FormCreate	1
golden-01-arranque	ficha_info.FormCreate	1
golden-01-arranque	ficha_info2.FormCreate	1
golden-01-arranque	ficha_info3.FormCreate	1
golden-01-arranque	ficha_info4.FormCreate	1
golden-01-arranque	ficha_movertodos.FormCreate	1
golden-01-arranque	ficha_salida.FormCreate	1
golden-01-arranque	ficha_warning.FormCreate	1
golden-01-arranque	ficha_warning_2.FormCreate	1
golden-01-arranque	jugador.FormCreate	1
golden-03-barras	MainForm.FormCreate	1
golden-03-barras	MainForm.FormShow	1
golden-03-barras	MainForm.boton_barras2isoClick	1
golden-03-barras	MainForm.lista_equiposChange	2
golden-03-barras	MainForm.track_barraChange	2
golden-03-barras	ficha_about.FormCreate	1
golden-03-barras	ficha_color.FormCreate	1
golden-03-barras	ficha_creditos_equipo.FormCreate	1
golden-03-barras	ficha_dorsal.FormCreate	1
golden-03-barras	ficha_enlaza.FormCreate	1
golden-03-barras	ficha_info.FormCreate	1
golden-03-barras	ficha_info2.FormCreate	1
golden-03-barras	ficha_info3.FormCreate	1
golden-03-barras	ficha_info4.FormCreate	1
golden-03-barras	ficha_movertodos.FormCreate	1
golden-03-barras	ficha_salida.FormCreate	1
golden-03-barras	ficha_warning.FormCreate	1
golden-03-barras	ficha_warning_2.FormCreate	1
golden-03-barras	jugador.FormCreate	1
golden-04-barras-editada	MainForm.FormCreate	1
golden-04-barras-editada	MainForm.FormShow	1
golden-04-barras-editada	MainForm.boton_barras2isoClick	1
golden-04-barras-editada	MainForm.lista_equiposChange	4
golden-04-barras-editada	MainForm.sel_barraClick	1
golden-04-barras-editada	MainForm.track_barraChange	5
golden-04-barras-editada	ficha_about.FormCreate	1
golden-04-barras-editada	ficha_color.FormCreate	1
golden-04-barras-editada	ficha_creditos_equipo.FormCreate	1
golden-04-barras-editada	ficha_dorsal.FormCreate	1
