roteiro	modo	veredito	segundos	tentativas	data
golden-01-arranque	controle	PASSOU	47	1	2026-08-22
golden-01-arranque	golden	PASSOU	34	1	2026-08-22
golden-03-barras	controle	PASSOU	86	1	2026-08-22
golden-03-barras	golden	PASSOU	70	1	2026-08-22
golden-04-barras-editada	controle	PASSOU	94	1	2026-08-22
golden-04-barras-editada	golden	PASSOU	80	1	2026-08-22
golden-05-nomes	controle	PASSOU	122	1	2026-08-22
golden-05-nomes	golden	PASSOU	109	1	2026-08-22
golden-06-textura	controle	PASSOU	103	2	2026-08-22
golden-06-textura	golden	PASSOU	82	2	2026-08-22
golden-07-mcr	controle	PASSOU	88	1	2026-08-22
golden-07-mcr	golden	PASSOU	72	1	2026-08-22
golden-08-dorsal-mcr	controle	PASSOU	107	1	2026-08-22
golden-08-dorsal-mcr	golden	PASSOU	93	1	2026-08-22
golden-09-mover	controle	PASSOU	112	1	2026-08-22
golden-09-mover	golden	PASSOU	96	1	2026-08-22
golden-10-mover-ml	controle	PASSOU	140	1	2026-08-22
golden-10-mover-ml	golden	PASSOU	127	1	2026-08-22
golden-11-descarte-ml	controle	PASSOU	162	1	2026-08-22
golden-11-descarte-ml	golden	PASSOU	150	1	2026-08-22
golden-12-mcr2iso	controle	PASSOU	106	1	2026-08-22
golden-12-mcr2iso	golden	PASSOU	83	1	2026-08-22
golden-13-roundtrip	controle	PASSOU	145	1	2026-08-22
golden-13-roundtrip	golden	PASSOU	113	1	2026-08-22
golden-14-uniforme	controle	PASSOU	88	1	2026-08-22
golden-14-uniforme	golden	PASSOU	72	1	2026-08-22
golden-15-ficha	controle	PASSOU	108	1	2026-08-22
golden-15-ficha	golden	PASSOU	95	1	2026-08-22
golden-16-cor	controle	PASSOU	100	1	2026-08-22
golden-16-cor	golden	PASSOU	87	1	2026-08-22
golden-17-tatica	controle	PASSOU	101	1	2026-08-22
golden-17-tatica	golden	PASSOU	89	1	2026-08-22
golden-18-ficha-edicao	controle	PASSOU	78	1	2026-08-24
golden-18-ficha-edicao	golden	PASSOU	71	2	2026-08-24
golden-19-ficha-original	controle	PASSOU	76	1	2026-08-24
golden-19-ficha-original	golden	PASSOU	73	1	2026-08-24
golden-20-ficha-reserva	controle	PASSOU	80	1	2026-08-24
golden-20-ficha-reserva	golden	PASSOU	74	1	2026-08-24
golden-21-arrasto	controle	PASSOU	95	1	2026-08-24
golden-21-arrasto	golden	PASSOU	88	1	2026-08-24
golden-22-precos	controle	PASSOU	83	1	2026-08-24
golden-22-precos	golden	PASSOU	79	2	2026-08-24
