formacao	nome	jogador	papel	abreviatura	x	y	zona	destino_x	destino_y
0	STOCK	0	0	--	0	0	0	-2	-12
0	STOCK	1	2	Za	9	41	1	70	88
0	STOCK	2	6	Za	9	63	1	70	143
0	STOCK	3	7	Le	11	19	2	86	33
0	STOCK	4	8	Ld	11	85	3	86	198
0	STOCK	5	10	Vl	18	52	4	142	113
0	STOCK	6	12	Ae	26	29	5	206	58
0	STOCK	7	13	Ad	26	75	6	206	173
0	STOCK	8	15	Me	34	52	7	270	113
0	STOCK	9	17	At	43	38	8	342	78
0	STOCK	10	19	At	43	66	8	342	148
1	DEFAULT	0	0	--	0	0	0	-2	-12
1	DEFAULT	1	0	--	0	0	0	-2	-12
1	DEFAULT	2	0	--	0	0	0	-2	-12
1	DEFAULT	3	0	--	0	0	0	-2	-12
1	DEFAULT	4	0	--	0	0	0	-2	-12
1	DEFAULT	5	0	--	0	0	0	-2	-12
1	DEFAULT	6	0	--	0	0	0	-2	-12
1	DEFAULT	7	0	--	0	0	0	-2	-12
1	DEFAULT	8	0	--	0	0	0	-2	-12
1	DEFAULT	9	0	--	0	0	0	-2	-12
1	DEFAULT	10	0	--	0	0	0	-2	-12
2	4 - 5 - 1  A	0	0	--	0	0	0	-2	-12
2	4 - 5 - 1  A	1	2	Za	9	41	1	70	88
2	4 - 5 - 1  A	2	6	Za	9	63	1	70	143
2	4 - 5 - 1  A	3	7	Le	11	19	2	86	33
2	4 - 5 - 1  A	4	8	Ld	11	85	3	86	198
2	4 - 5 - 1  A	5	10	Vl	18	52	4	142	113
2	4 - 5 - 1  A	6	12	Ae	26	29	5	206	58
2	4 - 5 - 1  A	7	13	Ad	26	75	6	206	173
2	4 - 5 - 1  A	8	14	Me	34	40	7	270	83
2	4 - 5 - 1  A	9	16	Me	34	64	7	270	143
2	4 - 5 - 1  A	10	18	At	43	52	8	342	113
3	4 - 5 - 1  B	0	0	--	0	0	0	-2	-12
3	4 - 5 - 1  B	1	2	Za	9	41	1	70	88
3	4 - 5 - 1  B	2	6	Za	9	63	1	70	143
3	4 - 5 - 1  B	3	7	Le	11	19	2	86	33
3	4 - 5 - 1  B	4	8	Ld	11	85	3	86	198
3	4 - 5 - 1  B	5	9	Vl	18	43	4	142	93
3	4 - 5 - 1  B	6	11	Vl	18	61	4	142	138
3	4 - 5 - 1  B	7	12	Ae	26	29	5	206	58
3	4 - 5 - 1  B	8	13	Ad	26	75	6	206	173
3	4 - 5 - 1  B	9	15	Me	34	52	7	270	113
3	4 - 5 - 1  B	10	18	At	43	52	8	342	113
4	4 - 4 - 2  A	0	0	--	0	0	0	-2	-12
4	4 - 4 - 2  A	1	2	Za	9	41	1	70	88
4	4 - 4 - 2  A	2	6	Za	9	63	1	70	143
4	4 - 4 - 2  A	3	7	Le	11	19	2	86	33
4	4 - 4 - 2  A	4	8	Ld	11	85	3	86	198
4	4 - 4 - 2  A	5	10	Vl	18	52	4	142	113
4	4 - 4 - 2  A	6	12	Ae	26	29	5	206	58
4	4 - 4 - 2  A	7	13	Ad	26	75	6	206	173
4	4 - 4 - 2  A	8	15	Me	34	52	7	270	113
4	4 - 4 - 2  A	9	17	At	43	38	8	342	78
4	4 - 4 - 2  A	10	19	At	43	66	8	342	148
5	4 - 4 - 2  B	0	0	--	0	0	0	-2	-12
5	4 - 4 - 2  B	1	2	Za	9	41	1	70	88
5	4 - 4 - 2  B	2	6	Za	9	63	1	70	143
5	4 - 4 - 2  B	3	7	Le	11	19	2	86	33
5	4 - 4 - 2  B	4	8	Ld	11	85	3	86	198
5	4 - 4 - 2  B	5	9	Vl	18	43	4	142	93
5	4 - 4 - 2  B	6	11	Vl	18	61	4	142	138
5	4 - 4 - 2  B	7	14	Me	30	34	7	238	68
5	4 - 4 - 2  B	8	16	Me	30	70	7	238	158
5	4 - 4 - 2  B	9	17	At	43	38	8	342	78
5	4 - 4 - 2  B	10	19	At	43	66	8	342	148
6	4 - 3 - 3  A	0	0	--	0	0	0	-2	-12
6	4 - 3 - 3  A	1	2	Za	9	41	1	70	88
6	4 - 3 - 3  A	2	6	Za	9	63	1	70	143
6	4 - 3 - 3  A	3	7	Le	11	19	2	86	33
6	4 - 3 - 3  A	4	8	Ld	11	85	3	86	198
6	4 - 3 - 3  A	5	10	Vl	18	52	4	142	113
6	4 - 3 - 3  A	6	14	Me	30	40	7	238	83
6	4 - 3 - 3  A	7	16	Me	30	64	7	238	143
6	4 - 3 - 3  A	8	18	At	43	52	8	342	113
6	4 - 3 - 3  A	9	20	Pe	43	32	9	342	63
6	4 - 3 - 3  A	10	21	Pd	43	72	10	342	163
7	4 - 3 - 3  B	0	0	--	0	0	0	-2	-12
7	4 - 3 - 3  B	1	2	Za	9	41	1	70	88
7	4 - 3 - 3  B	2	6	Za	9	63	1	70	143
7	4 - 3 - 3  B	3	7	Le	11	19	2	86	33
7	4 - 3 - 3  B	4	8	Ld	11	85	3	86	198
7	4 - 3 - 3  B	5	9	Vl	18	43	4	142	93
7	4 - 3 - 3  B	6	11	Vl	18	61	4	142	138
7	4 - 3 - 3  B	7	15	Me	30	52	7	238	113
7	4 - 3 - 3  B	8	18	At	43	52	8	342	113
7	4 - 3 - 3  B	9	20	Pe	43	32	9	342	63
7	4 - 3 - 3  B	10	21	Pd	43	72	10	342	163
8	3 - 6 - 1  A	0	0	--	0	0	0	-2	-12
8	3 - 6 - 1  A	1	2	Za	9	32	1	70	63
8	3 - 6 - 1  A	2	3	Za	9	52	1	70	113
8	3 - 6 - 1  A	3	6	Za	9	72	1	70	163
8	3 - 6 - 1  A	4	10	Vl	18	52	4	142	113
8	3 - 6 - 1  A	5	12	Ae	26	27	5	206	53
8	3 - 6 - 1  A	6	13	Ad	26	77	6	206	178
8	3 - 6 - 1  A	7	15	Me	26	52	7	206	113
8	3 - 6 - 1  A	8	14	Me	34	40	7	270	83
8	3 - 6 - 1  A	9	16	Me	34	64	7	270	143
8	3 - 6 - 1  A	10	18	At	43	52	8	342	113
9	3 - 6 - 1  B	0	0	--	0	0	0	-2	-12
9	3 - 6 - 1  B	1	2	Za	9	32	1	70	63
9	3 - 6 - 1  B	2	3	Za	9	52	1	70	113
9	3 - 6 - 1  B	3	6	Za	9	72	1	70	163
9	3 - 6 - 1  B	4	9	Vl	18	43	4	142	93
