roteiro	rom	modo	veredito	segundos	data
golden-01-arranque	ptbr	controle	PASSOU	47	2026-08-27
golden-01-arranque	ptbr	golden	PASSOU	34	2026-08-27
golden-03-barras	ptbr	controle	PASSOU	85	2026-08-27
golden-03-barras	ptbr	golden	PASSOU	71	2026-08-27
golden-04-barras-editada	ptbr	controle	PASSOU	94	2026-08-27
golden-04-barras-editada	ptbr	golden	PASSOU	81	2026-08-27
golden-05-nomes	ptbr	controle	PASSOU	122	2026-08-27
golden-05-nomes	ptbr	golden	REPROVOU	108	2026-08-27
golden-06-textura	ptbr	controle	PASSOU	103	2026-08-27
golden-06-textura	ptbr	golden	PASSOU	82	2026-08-27
golden-07-mcr	ptbr	controle	PASSOU	89	2026-08-27
golden-07-mcr	ptbr	golden	PASSOU	72	2026-08-27
golden-08-dorsal-mcr	ptbr	controle	PASSOU	107	2026-08-27
golden-08-dorsal-mcr	ptbr	golden	PASSOU	93	2026-08-27
golden-09-mover	ptbr	controle	PASSOU	112	2026-08-27
golden-09-mover	ptbr	golden	PASSOU	96	2026-08-27
golden-10-mover-ml	ptbr	controle	PASSOU	140	2026-08-27
golden-10-mover-ml	ptbr	golden	PASSOU	127	2026-08-27
golden-11-descarte-ml	ptbr	controle	PASSOU	163	2026-08-27
golden-11-descarte-ml	ptbr	golden	PASSOU	149	2026-08-27
golden-12-mcr2iso	ptbr	controle	PASSOU	107	2026-08-27
golden-12-mcr2iso	ptbr	golden	PASSOU	84	2026-08-27
golden-13-roundtrip	ptbr	controle	PASSOU	144	2026-08-27
golden-13-roundtrip	ptbr	golden	PASSOU	114	2026-08-27
golden-14-uniforme	ptbr	controle	PASSOU	88	2026-08-27
golden-14-uniforme	ptbr	golden	PASSOU	72	2026-08-27
golden-15-ficha	ptbr	controle	PASSOU	108	2026-08-27
golden-15-ficha	ptbr	golden	PASSOU	95	2026-08-27
golden-16-cor	ptbr	controle	PASSOU	100	2026-08-27
golden-16-cor	ptbr	golden	PASSOU	88	2026-08-27
golden-17-tatica	ptbr	controle	PASSOU	102	2026-08-27
golden-17-tatica	ptbr	golden	PASSOU	89	2026-08-27
golden-18-ficha-edicao	ptbr	controle	PASSOU	116	2026-08-27
golden-18-ficha-edicao	ptbr	golden	PASSOU	105	2026-08-27
golden-19-ficha-original	ptbr	controle	PASSOU	120	2026-08-27
golden-19-ficha-original	ptbr	golden	PASSOU	109	2026-08-27
golden-20-ficha-reserva	ptbr	controle	PASSOU	120	2026-08-27
golden-20-ficha-reserva	ptbr	golden	PASSOU	110	2026-08-27
golden-21-arrasto	ptbr	controle	PASSOU	102	2026-08-27
golden-21-arrasto	ptbr	golden	PASSOU	89	2026-08-27
golden-22-precos	ptbr	controle	PASSOU	99	2026-08-27
golden-22-precos	ptbr	golden	PASSOU	89	2026-08-27
golden-23-multiplas-edicoes	ptbr	controle	PASSOU	144	2026-08-27
golden-23-multiplas-edicoes	ptbr	golden	REPROVOU	132	2026-08-27
golden-24-gravacao-dupla	ptbr	controle	PASSOU	157	2026-08-27
golden-24-gravacao-dupla	ptbr	golden	PASSOU	145	2026-08-27
golden-25-retorno	ptbr	controle	PASSOU	99	2026-08-27
golden-25-retorno	ptbr	golden	PASSOU	87	2026-08-27
