roteiro	rom	modo	veredito	segundos	data
golden-01-arranque	europeia	controle	PASSOU	47	2026-08-26
golden-01-arranque	europeia	golden	PASSOU	34	2026-08-26
golden-03-barras	europeia	controle	SEM_ORACULO	64	2026-08-26
golden-03-barras	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-04-barras-editada	europeia	controle	SEM_ORACULO	68	2026-08-26
golden-04-barras-editada	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-05-nomes	europeia	controle	SEM_ORACULO	81	2026-08-26
golden-05-nomes	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-06-textura	europeia	controle	SEM_ORACULO	63	2026-08-26
golden-06-textura	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-07-mcr	europeia	controle	SEM_ORACULO	64	2026-08-26
golden-07-mcr	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-08-dorsal-mcr	europeia	controle	SEM_ORACULO	65	2026-08-26
golden-08-dorsal-mcr	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-09-mover	europeia	controle	SEM_ORACULO	56	2026-08-26
golden-09-mover	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-10-mover-ml	europeia	controle	SEM_ORACULO	70	2026-08-26
golden-10-mover-ml	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-11-descarte-ml	europeia	controle	SEM_ORACULO	82	2026-08-26
golden-11-descarte-ml	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-12-mcr2iso	europeia	controle	SEM_ORACULO	62	2026-08-26
golden-12-mcr2iso	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-13-roundtrip	europeia	controle	SEM_ORACULO	63	2026-08-26
golden-13-roundtrip	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-14-uniforme	europeia	controle	SEM_ORACULO	125	2026-08-26
golden-14-uniforme	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-15-ficha	europeia	controle	SEM_ORACULO	70	2026-08-26
golden-15-ficha	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-16-cor	europeia	controle	SEM_ORACULO	65	2026-08-26
golden-16-cor	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-17-tatica	europeia	controle	SEM_ORACULO	66	2026-08-26
golden-17-tatica	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-18-ficha-edicao	europeia	controle	SEM_ORACULO	70	2026-08-26
golden-18-ficha-edicao	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-19-ficha-original	europeia	controle	SEM_ORACULO	71	2026-08-26
golden-19-ficha-original	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-20-ficha-reserva	europeia	controle	SEM_ORACULO	76	2026-08-26
golden-20-ficha-reserva	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-21-arrasto	europeia	controle	SEM_ORACULO	67	2026-08-26
golden-21-arrasto	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-22-precos	europeia	controle	SEM_ORACULO	65	2026-08-26
golden-22-precos	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-23-multiplas-edicoes	europeia	controle	SEM_ORACULO	85	2026-08-26
golden-23-multiplas-edicoes	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-24-gravacao-dupla	europeia	controle	SEM_ORACULO	66	2026-08-26
golden-24-gravacao-dupla	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-25-retorno	europeia	controle	SEM_ORACULO	64	2026-08-26
golden-25-retorno	europeia	golden	NAO_APLICAVEL	0	2026-08-26
golden-01-arranque	japonesa	controle	PASSOU	47	2026-08-28
golden-01-arranque	japonesa	golden	PASSOU	33	2026-08-28
golden-03-barras	japonesa	controle	PASSOU	86	2026-08-28
golden-03-barras	japonesa	golden	PASSOU	71	2026-08-28
golden-04-barras-editada	japonesa	controle	PASSOU	94	2026-08-28
golden-04-barras-editada	japonesa	golden	PASSOU	82	2026-08-28
golden-05-nomes	japonesa	controle	PASSOU	122	2026-08-28
golden-05-nomes	japonesa	golden	PASSOU	111	2026-08-28
golden-06-textura	japonesa	controle	PASSOU	102	2026-08-28
golden-06-textura	japonesa	golden	PASSOU	83	2026-08-28
golden-07-mcr	japonesa	controle	PASSOU	88	2026-08-28
golden-07-mcr	japonesa	golden	PASSOU	72	2026-08-28
golden-08-dorsal-mcr	japonesa	controle	PASSOU	107	2026-08-28
golden-08-dorsal-mcr	japonesa	golden	PASSOU	93	2026-08-28
golden-09-mover	japonesa	controle	PASSOU	112	2026-08-28
golden-09-mover	japonesa	golden	PASSOU	97	2026-08-28
golden-10-mover-ml	japonesa	controle	PASSOU	141	2026-08-28
golden-10-mover-ml	japonesa	golden	PASSOU	127	2026-08-28
golden-11-descarte-ml	japonesa	controle	PASSOU	163	2026-08-28
golden-11-descarte-ml	japonesa	golden	PASSOU	150	2026-08-28
golden-12-mcr2iso	japonesa	controle	PASSOU	109	2026-08-28
golden-12-mcr2iso	japonesa	golden	PASSOU	84	2026-08-28
golden-13-roundtrip	japonesa	controle	PASSOU	144	2026-08-28
golden-13-roundtrip	japonesa	golden	PASSOU	113	2026-08-28
golden-14-uniforme	japonesa	controle	PASSOU	89	2026-08-28
golden-14-uniforme	japonesa	golden	PASSOU	71	2026-08-28
golden-15-ficha	japonesa	controle	PASSOU	108	2026-08-28
golden-15-ficha	japonesa	golden	PASSOU	95	2026-08-28
golden-16-cor	japonesa	controle	PASSOU	100	2026-08-28
golden-16-cor	japonesa	golden	PASSOU	87	2026-08-28
golden-17-tatica	japonesa	controle	PASSOU	102	2026-08-28
golden-17-tatica	japonesa	golden	PASSOU	89	2026-08-28
golden-18-ficha-edicao	japonesa	controle	PASSOU	116	2026-08-28
golden-18-ficha-edicao	japonesa	golden	PASSOU	105	2026-08-28
golden-19-ficha-original	japonesa	controle	PASSOU	120	2026-08-28
golden-19-ficha-original	japonesa	golden	PASSOU	109	2026-08-28
golden-20-ficha-reserva	japonesa	controle	PASSOU	120	2026-08-28
golden-20-ficha-reserva	japonesa	golden	PASSOU	110	2026-08-28
golden-21-arrasto	japonesa	controle	PASSOU	101	2026-08-28
golden-21-arrasto	japonesa	golden	PASSOU	89	2026-08-28
golden-22-precos	japonesa	controle	PASSOU	100	2026-08-28
golden-22-precos	japonesa	golden	PASSOU	89	2026-08-28
golden-23-multiplas-edicoes	japonesa	controle	PASSOU	143	2026-08-28
golden-23-multiplas-edicoes	japonesa	golden	PASSOU	132	2026-08-28
golden-24-gravacao-dupla	japonesa	controle	PASSOU	157	2026-08-28
golden-24-gravacao-dupla	japonesa	golden	PASSOU	144	2026-08-28
golden-25-retorno	japonesa	controle	PASSOU	100	2026-08-28
golden-25-retorno	japonesa	golden	PASSOU	87	2026-08-28
