inicio	tamanho	bytes_amostrados	nao_zero	amostra_hex
0	23	23	14	00ffffffffffffffffffff000002000200000800000008
11796	512	64	32	1c23000051010000a42d0000990000001c00000030020000070000000403002039a5942000000200010000000403002039a59420000001000300000004030020
387792	1036	64	61	546f6c646f00000057f877eb3709b3aef101d9aef7f75ed0ec86dd66eac25cc7fe7db1624f06dbfbfa97d1ff484f906e3262dd596ec1d47c1ede0d57105a8551
404716	512	64	62	c0323d1ac4cc2f1de1797c143109b40060304705f9a90403c5b43b252722bc004bb0d128f32485243710fb3d1a1a1701c04aa20e3f24d43d940de81a06df5801
1012641	1024	64	39	454b0000000000000000004b4945560000000047414c415441534152415900000000004f4c594d5049414b4f530000000000004c455645524b2e004241594552
1013736	712	64	50	534348414c4b45004c455645524b5553454e000042415945524e0000444f52544d554e0046554c48414d000000000000544f5454454e2e0045564552544f4e00
1881969	1439	64	41	454b0000000000000000004b4945560000000047414c415441534152415900000000004f4c594d5049414b4f5300004c455645524b2e0042415945524e000044
2002316	1732	64	50	82608285828b000000000000826a8289828582960000000082668281828c8281829482818293828182920000826e828c82998142826a828f82930000826b8285
2002317	3567	64	50	608285828b000000000000826a8289828582960000000082668281828c8281829482818293828182920000826e828c82998142826a828f82930000826b828582
2012680	2192	64	61	08340835083608370839083a083b0d190a200a2111170a230a240c2e0c2f1b171b180a561b190f1b08381719181a000009000901090209030904090509060907
2028268	1268	64	45	454b0000000000004b4945560000000047414c4154415341524159004f4c594d504941004c45560042415945524e0000444f52544d554e4400000000524f4d41
2328060	636	64	58	1f25240704263810071c1d1f001e36251e0700112828070807030a1c243900240200240e1c0c253b0a28232205071c040407033715022b2b040007000713081c
2667258	544	64	60	42088165816508218165082108210821734e082108218165816508218165000042089c7381659c73816508219c739c73734e81659c739c739c739c739c730000
2736694	512	64	64	434c4f4e45530a4d4153414e4f4255204b494d5552410a4d494b452053555a554b490a5941535526424f53530a4d4153414849524f204d49594157414b490a54
2830161	1291	64	45	454b00000000004b4945560000000047414c4154415341524159004f4c594d504941004c45560042415945524e0000444f52544d554e4400000000524f4d4100
4234485	887	64	48	454b004b49450047414c004f4c59004c45560042415900444f5200524f4d004c4f4b0048414900524f53004d494c004a555600494e5400505356004645590041
4598597	1331	64	45	656b00000000004b6965760000000047616c6174617361726179004f6c796d7069616b6f7300004c65760042617965726e0000446f72746d756e640000000052
5651069	2087	64	48	454b004b49450047414c004f4c59004c45560042415900444f5200524f4d004c4f4b0048414900524f53004d494c004a555600494e5400505356004645590041
12543596	1184	64	64	3432d1298e252b1de8181863524aad350821c714ad352925e71ca514630c21043432d1298e252b1de818ff1cd818b1148a10c714b1142925e71ca514630c2104
12549518	512	64	60	08a1b5de01495aeb44d90cde08a15aeb44d9b5de0cde01c95aeb5aeb08a10000bdf718e3d6da9a82dbda9dd619c2b8b9f4ad9c8fb4989389548c969094900000
14368636	512	64	4	00651280ff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
