tabela	linha	coluna	destino	literal	texto
ficha	0	0	0x00423798	0x00424875	Gl
ficha	0	1	0x0042379c	0x00424878	Za
ficha	0	2	0x004237a0	0x0042487b	Lt
ficha	0	3	0x004237a4	0x0042487e	Vl
ficha	0	4	0x004237a8	0x00424881	Al
ficha	0	5	0x004237ac	0x00424884	Me
ficha	0	6	0x004237b0	0x00424887	At
ficha	0	7	0x004237b4	0x0042488a	Po
ficha	1	0	0x004237b8	0x0042488d	A
ficha	1	1	0x004237bc	0x0042488f	B
ficha	1	2	0x004237c0	0x00424891	C
ficha	1	3	0x004237c4	0x00424893	D
ficha	1	4	0x004237c8	0x00424895	 
ficha	1	5	0x004237cc	0x00424897	 
ficha	1	6	0x004237d0	0x00424899	 
ficha	1	7	0x004237d4	0x0042489b	 
ficha	2	0	0x004237d8	0x0042489d	 
ficha	2	1	0x004237dc	0x0042489f	 
ficha	2	2	0x004237e0	0x004248a1	 
ficha	2	3	0x004237e4	0x004248a3	 
ficha	2	4	0x004237e8	0x004248a5	 
ficha	2	5	0x004237ec	0x004248a7	 
ficha	2	6	0x004237f0	0x004248a9	 
ficha	2	7	0x004237f4	0x004248ab	 
ficha	3	0	0x004237f8	0x004248ad	A
ficha	3	1	0x004237fc	0x004248af	B
ficha	3	2	0x00423800	0x004248b1	C
ficha	3	3	0x00423804	0x004248b3	D
ficha	3	4	0x00423808	0x004248b5	E
ficha	3	5	0x0042380c	0x004248b7	F
ficha	3	6	0x00423810	0x004248b9	G
ficha	3	7	0x00423814	0x004248bb	H
ficha	4	0	0x00423818	0x004248bd	A
ficha	4	1	0x0042381c	0x004248bf	B
ficha	4	2	0x00423820	0x004248c1	C
ficha	4	3	0x00423824	0x004248c3	D
ficha	4	4	0x00423828	0x004248c5	E
ficha	4	5	0x0042382c	0x004248c7	F
ficha	4	6	0x00423830	0x004248c9	G
ficha	4	7	0x00423834	0x004248cb	 
ficha	5	0	0x00423838	0x004248cd	A
ficha	5	1	0x0042383c	0x004248cf	B
ficha	5	2	0x00423840	0x004248d1	C
ficha	5	3	0x00423844	0x004248d3	D
ficha	5	4	0x00423848	0x004248d5	E
ficha	5	5	0x0042384c	0x004248d7	F
ficha	5	6	0x00423850	0x004248d9	G
ficha	5	7	0x00423854	0x004248db	 
ficha	6	0	0x00423858	0x004248dd	 
ficha	6	1	0x0042385c	0x004248df	 
ficha	6	2	0x00423860	0x004248e1	 
ficha	6	3	0x00423864	0x004248e3	 
ficha	6	4	0x00423868	0x004248e5	 
ficha	6	5	0x0042386c	0x004248e7	 
ficha	6	6	0x00423870	0x004248e9	 
ficha	6	7	0x00423874	0x004248eb	 
ficha	7	0	0x00423878	0x004248ed	A
ficha	7	1	0x0042387c	0x004248ef	B
ficha	7	2	0x00423880	0x004248f1	C
ficha	7	3	0x00423884	0x004248f3	D
ficha	7	4	0x00423888	0x004248f5	E
ficha	7	5	0x0042388c	0x004248f7	F
ficha	7	6	0x00423890	0x004248f9	G
ficha	7	7	0x00423894	0x004248fb	H
ficha	8	0	0x00423898	0x004248fd	 
ficha	8	1	0x0042389c	0x004248ff	 
ficha	8	2	0x004238a0	0x00424901	 
ficha	8	3	0x004238a4	0x00424903	 
ficha	8	4	0x004238a8	0x00424905	 
ficha	8	5	0x004238ac	0x00424907	 
ficha	8	6	0x004238b0	0x00424909	 
ficha	8	7	0x004238b4	0x0042490b	 
ficha	9	0	0x004238b8	0x0042490d	A
ficha	9	1	0x004238bc	0x0042490f	B
ficha	9	2	0x004238c0	0x00424911	C
ficha	9	3	0x004238c4	0x00424913	D
ficha	9	4	0x004238c8	0x00424915	E
ficha	9	5	0x004238cc	0x00424917	F
ficha	9	6	0x004238d0	0x00424919	G
ficha	9	7	0x004238d4	0x0042491b	H
ficha	10	0	0x004238d8	0x0042491d	Dire.
ficha	10	1	0x004238dc	0x00424923	Esq.
ficha	10	2	0x004238e0	0x00424928	Dois
ficha	10	3	0x004238e4	0x0042492d	 
ficha	10	4	0x004238e8	0x0042492f	 
ficha	10	5	0x004238ec	0x00424931	 
ficha	10	6	0x004238f0	0x00424933	 
ficha	10	7	0x004238f4	0x00424935	 
ficha	11	0	0x004238f8	0x00424937	NO
ficha	11	1	0x004238fc	0x0042493a	YES
ficha	11	2	0x00423900	0x0042493e	 
ficha	11	3	0x00423904	0x00424940	 
ficha	11	4	0x00423908	0x00424942	 
ficha	11	5	0x0042390c	0x00424944	 
ficha	11	6	0x00423910	0x00424946	 
ficha	11	7	0x00423914	0x00424948	 
cabelo		0	0x00423918	0x0042494a	A1
cabelo		1	0x0042391c	0x0042494d	A2
cabelo		2	0x00423920	0x00424950	A3
cabelo		3	0x00423924	0x00424953	B1
cabelo		4	0x00423928	0x00424956	B2
cabelo		5	0x0042392c	0x00424959	B3
cabelo		6	0x00423930	0x0042495c	B4
cabelo		7	0x00423934	0x0042495f	B5
cabelo		8	0x00423938	0x00424962	B6
cabelo		9	0x0042393c	0x00424965	C1
cabelo		10	0x00423940	0x00424968	C2
cabelo		11	0x00423944	0x0042496b	D1
cabelo		12	0x00423948	0x0042496e	D2
cabelo		13	0x0042394c	0x00424971	E1
cabelo		14	0x00423950	0x00424974	E2
cabelo		15	0x00423954	0x00424977	F1
cabelo		16	0x00423958	0x0042497a	F2
cabelo		17	0x0042395c	0x0042497d	F3
cabelo		18	0x00423960	0x00424980	G1
cabelo		19	0x00423964	0x00424983	H1
cabelo		20	0x00423968	0x00424986	I1
cabelo		21	0x0042396c	0x00424989	I2
cabelo		22	0x00423970	0x0042498c	I3
cabelo		23	0x00423974	0x0042498f	J1
cabelo		24	0x00423978	0x00424992	K1
cabelo		25	0x0042397c	0x00424995	L1
cabelo		26	0x00423980	0x00424998	L2
cabelo		27	0x00423984	0x0042499b	L3
cabelo		28	0x00423988	0x0042499e	M1
cabelo		29	0x0042398c	0x004249a1	N1
cabelo		30	0x00423990	0x004249a4	O1
cabelo		31	0x00423994	0x004249a7	P1
