time	nc	prefixo_wte	start_link_core	concorda
0	5	0	0	sim
1	4	5	5	sim
2	1	9	9	sim
3	41	10	10	sim
4	7	51	51	sim
5	42	58	58	sim
6	68	100	100	sim
7	5	168	168	sim
8	37	173	173	sim
9	1	210	210	sim
10	64	211	211	sim
11	1	275	275	sim
12	25	276	276	sim
13	3	301	301	sim
14	2	304	304	sim
15	5	306	306	sim
16	1	311	311	sim
17	1	312	312	sim
18	0	313	0	nao
19	1	313	313	sim
20	0	314	0	nao
21	0	314	0	nao
22	4	314	314	sim
23	3	318	318	sim
24	4	321	321	sim
25	0	325	0	nao
26	8	325	325	sim
27	10	333	333	sim
28	4	343	343	sim
29	2	347	347	sim
30	2	349	349	sim
31	0	351	0	nao
32	0	351	350	nao
33	1	351	351	sim
34	0	352	0	nao
35	0	352	0	nao
36	0	352	0	nao
37	1	352	352	sim
38	0	353	0	nao
39	0	353	0	nao
40	1	353	353	sim
41	36	354	354	sim
42	0	390	0	nao
43	0	390	0	nao
44	1	390	390	sim
45	3	391	391	sim
46	34	394	394	sim
47	0	428	0	nao
48	4	428	428	sim
49	0	432	0	nao
50	0	432	0	nao
51	0	432	0	nao
52	0	432	0	nao
53	2	432	432	sim
54	0	434	0	nao
55	0	434	0	nao
56	0	434	0	nao
57	0	434	0	nao
58	0	434	0	nao
59	0	434	0	nao
60	0	434	0	nao
61	0	434	0	nao
62	0	434	0	nao
63	0	434	-1	nao
64	0	434	-1	nao
65	0	434	-1	nao
66	0	434	-1	nao
67	0	434	-1	nao
68	0	434	-1	nao
69	0	434	-1	nao
70	0	434	-1	nao
71	0	434	-1	nao
72	0	434	-1	nao
73	0	434	-1	nao
74	0	434	-1	nao
75	0	434	-1	nao
76	0	434	-1	nao
77	0	434	-1	nao
78	0	434	-1	nao
79	0	434	-1	nao
80	0	434	-1	nao
81	0	434	-1	nao
82	0	434	-1	nao
83	0	434	-1	nao
84	0	434	-1	nao
85	0	434	-1	nao
86	0	434	-1	nao
87	0	434	-1	nao
88	0	434	-1	nao
89	0	434	-1	nao
90	0	434	-1	nao
91	0	434	-1	nao
92	0	434	-1	nao
93	0	434	-1	nao
94	0	434	-1	nao
95	1	434	434	sim
96	1	435	435	sim
97	2	436	436	sim
98	2	438	438	sim
99	2	440	440	sim
100	0	442	0	nao
101	1	442	442	sim
102	0	443	4	nao
103	0	443	0	nao
104	0	443	0	nao
105	1	443	443	sim
106	7	444	444	sim
107	0	451	0	nao
108	5	451	451	sim
109	1	456	456	sim
110	1	457	457	sim
111	1	458	458	sim
112	0	459	0	nao
113	0	459	0	nao
114	1	459	459	sim
115	0	460	0	nao
116	2	460	460	sim
117	0	462	0	nao
118	0	462	0	nao
119	0	462	0	nao
