registro	nome	valor	hex	setor	byte_no_setor	va	ocorrencias	classe	base	base_nome	relacao	delta	nota
tabela_slot	OFS_TEAM_NAME_KANJI	2002316	0x001e8d8c	851	764	0x004231a0							tabela1 slot 0
tabela_slot	OFS_TEAM_MIXED_CASE_NAME	4598596	0x00462b44	1955	436	0x004231a4							tabela1 slot 1
tabela_slot		0	0x00000000			0x004231a8							tabela1 slot 2 (buraco)
tabela_slot		0	0x00000000			0x004231ac							tabela1 slot 3 (buraco)
tabela_slot		0	0x00000000			0x004231b0							tabela1 slot 4 (buraco)
tabela_slot		0	0x00000000			0x004231b4							tabela1 slot 5 (buraco)
tabela_slot	OFS_TEAM_NAME_3	2003996	0x001e941c	852	92	0x004231b8							tabela1 slot 6
tabela_slot	OFS_TEAM_NAME_1	1012640	0x000f73a0	430	1280	0x004231bc							tabela1 slot 7
tabela_slot	OFS_TEAM_NAME_4	2830160	0x002b2f50	1203	704	0x004231c0							tabela1 slot 8
tabela_slot	OFS_ML_TEAM_NAME_7	2028267	0x001ef2eb	862	843	0x004231c4							tabela1 slot 9
tabela_slot	OFS_TEAM_NAME_2	1881968	0x001cb770	800	368	0x004231c8							tabela1 slot 10
tabela_slot	OFS_TEAM_NAME_6	5651448	0x00563bf8	2402	1944	0x004231cc							tabela1 slot 11
tabela_slot	OFS_TEAM_ABBREV_1	2004996	0x001e9804	852	1092	0x004231d0							tabela1 slot 12
tabela_slot	OFS_TEAM_ABBREV_3	4234484	0x00409cf4	1800	884	0x004231d4							tabela1 slot 13
tabela_slot	OFS_TEAM_ABBREV_2	5651068	0x00563a7c	2402	1564	0x004231d8							tabela1 slot 14
tabela_slot		0	0x00000000			0x004231dc							tabela1 slot 15 (buraco)
tabela_slot		0	0x00000000			0x004231e0							tabela1 slot 16 (buraco)
tabela_slot		0	0x00000000			0x004231e4							tabela1 slot 17 (buraco)
tabela_slot	OFS_FLAG_SHAPE_COPY_1	1929004	0x001d6f2c	820	364	0x00423634							tabela2 slot 0
tabela_slot	OFS_FLAG_SHAPE_COPY_2	2005412	0x001e99a4	852	1508	0x00423638							tabela2 slot 1
tabela_slot	OFS_FLAG_SHAPE_COPY_3	2328060	0x002385fc	989	1932	0x0042363c							tabela2 slot 2
tabela_slot	OFS_FLAG_SHAPE_COPY_4	4904664	0x004ad6d8	2085	744	0x00423640							tabela2 slot 3
tabela_slot	OFS_FLAG_SHAPE_COPY_5	5711640	0x00572718	2428	984	0x00423644							tabela2 slot 4
tabela_copia						0x0042b750							copia identica de 0x004231a0, 72 bytes
tabela_copia						0x0042d244							copia identica de 0x004231a0, 72 bytes
tabela_copia						0x0042e6d4							copia identica de 0x004231a0, 72 bytes
tabela_copia						0x0042bbe4							copia identica de 0x00423634, 20 bytes
tabela_copia						0x0042d6d8							copia identica de 0x00423634, 20 bytes
tabela_copia						0x0042eb68							copia identica de 0x00423634, 20 bytes
confirmado	OFS_TEAM_NAME_1	1012640	0x000f73a0	430	1280	0x004231bc|0x0042b76c|0x0042d260|0x0042e6f0	4	confirmado					.data
confirmado	OFS_TEAM_NAME_2	1881968	0x001cb770	800	368	0x004231c8|0x0042b778|0x0042d26c|0x0042e6fc	4	confirmado					.data
confirmado	OFS_TEAM_NAME_3	2003996	0x001e941c	852	92	0x004231b8|0x0042b768|0x0042d25c|0x0042e6ec	4	confirmado					.data
confirmado	OFS_TEAM_NAME_4	2830160	0x002b2f50	1203	704	0x004231c0|0x0042b770|0x0042d264|0x0042e6f4	4	confirmado					.data
confirmado	OFS_TEAM_NAME_6	5651448	0x00563bf8	2402	1944	0x004231cc|0x0042b77c|0x0042d270|0x0042e700	4	confirmado					.data
confirmado	OFS_TEAM_NAME_KANJI	2002316	0x001e8d8c	851	764	0x004231a0|0x0042b750|0x0042d244|0x0042e6d4	4	confirmado					.data
confirmado	OFS_TEAM_MIXED_CASE_NAME	4598596	0x00462b44	1955	436	0x004231a4|0x0042b754|0x0042d248|0x0042e6d8	4	confirmado					.data
confirmado	OFS_TEAM_ABBREV_1	2004996	0x001e9804	852	1092	0x004231d0|0x0042b780|0x0042d274|0x0042e704	4	confirmado					.data
confirmado	OFS_TEAM_ABBREV_2	5651068	0x00563a7c	2402	1564	0x004231d8|0x0042b788|0x0042d27c|0x0042e70c	4	confirmado					.data
confirmado	OFS_TEAM_ABBREV_3	4234484	0x00409cf4	1800	884	0x004231d4|0x0042b784|0x0042d278|0x0042e708	4	confirmado					.data
confirmado	OFS_ML_TEAM_NAME_7	2028267	0x001ef2eb	862	843	0x004231c4|0x0042b774|0x0042d268|0x0042e6f8	4	confirmado					.data
confirmado	OFS_FLAG_SHAPE_COPY_1	1929004	0x001d6f2c	820	364	0x00423634|0x0042bbe4|0x0042d6d8|0x0042eb68	4	confirmado					.data
confirmado	OFS_FLAG_SHAPE_COPY_2	2005412	0x001e99a4	852	1508	0x00423638|0x0042bbe8|0x0042d6dc|0x0042eb6c	4	confirmado					.data
confirmado	OFS_FLAG_SHAPE_COPY_3	2328060	0x002385fc	989	1932	0x004054b7|0x0042363c|0x0042bbec|0x0042d6e0|0x0042eb70	5	confirmado					.data,.text
confirmado	OFS_FLAG_SHAPE_COPY_4	4904664	0x004ad6d8	2085	744	0x00423640|0x0042bbf0|0x0042d6e4|0x0042eb74	4	confirmado					.data
confirmado	OFS_FLAG_SHAPE_COPY_5	5711640	0x00572718	2428	984	0x00423644|0x0042bbf4|0x0042d6e8|0x0042eb78	4	confirmado					.data
confirmado	OFS_COST_NATIONAL	3067404	0x002ece0c	1304	396	0x0040448c|0x00404628	2	confirmado					.text
confirmado	OFS_COST_NC	3069512	0x002ed648	1305	152	0x004046b9|0x00404b66	2	confirmado					.text
confirmado	OFS_LINK_ML	2012680	0x001eb608	855	1720	0x004042fd	1	confirmado					.text
ausente	OFS_TEAM_NAME_1_END	1013431	0x000f76b7	430	2071			H1	1012640	OFS_TEAM_NAME_1	mesmo setor	791	profundidade 1
ausente	OFS_TEAM_NAME_1_A	1013736	0x000f77e8	431	24			H1	1012640	OFS_TEAM_NAME_1	mesmo setor	1096	profundidade 1
ausente	OFS_TEAM_NAME_5	4822908	0x0049977c	2050	1308			H3	4904664	OFS_FLAG_SHAPE_COPY_4	-	-81756	sem base derivavel
ausente	OFS_TEAM_NAME_5_A	4823976	0x00499ba8	2051	24			H3	4904664	OFS_FLAG_SHAPE_COPY_4	-	-80688	sem base derivavel
ausente	OFS_TEAM_NAME_6_A	5651880	0x00563da8	2403	24			H1	5651448	OFS_TEAM_NAME_6	mesmo setor	432	profundidade 1
ausente	OFS_TEAM_NAME_6_B	5652364	0x00563f8c	2403	508			H1	5651448	OFS_TEAM_NAME_6	mesmo setor	916	profundidade 1
ausente	OFS_TEAM_NAME_KANJI_A	2003928	0x001e93d8	852	24			H1	2003996	OFS_TEAM_NAME_3	mesmo setor	-68	profundidade 1
ausente	OFS_ML_TEAM_NAME_8	2476048	0x0025c810	1052	1744			H2	2476680	OFS_ML_TEAM_NAME_8_A	mesmo setor	-632	profundidade 2
ausente	OFS_ML_TEAM_NAME_8_A	2476680	0x0025ca88	1053	24			H2	2469624		+3 setores	7056	profundidade 1
ausente	OFS_TEAM_BARS	2328184	0x00238678	989	2056			H1	2328060	OFS_FLAG_SHAPE_COPY_3	mesmo setor	124	profundidade 1
ausente	OFS_TEAM_BARS_A	2328504	0x002387b8	990	24			H1	2328060	OFS_FLAG_SHAPE_COPY_3	mesmo setor	444	profundidade 1
ausente	OFS_KICKER	2329056	0x002389e0	990	576			H1	2328060	OFS_FLAG_SHAPE_COPY_3	mesmo setor	996	profundidade 1
ausente	OFS_PLAYER_NAME	387792	0x0005ead0	164	2064			H2	389920		mesmo setor	-2128	profundidade 1
ausente	OFS_PLAYER_NAME_2	390456	0x0005f538	166	24			H2	389920		mesmo setor	536	profundidade 1
ausente	OFS_PLAYER_NAME_3	392808	0x0005fe68	167	24			H2	390456	OFS_PLAYER_NAME_2	+1 setor	2352	profundidade 2
ausente	OFS_PLAYER_NAME_4	395160	0x00060798	168	24			H2	390456	OFS_PLAYER_NAME_2	+2 setores	4704	profundidade 2
ausente	OFS_PLAYER_NAME_5	397512	0x000610c8	169	24			H2	390456	OFS_PLAYER_NAME_2	+3 setores	7056	profundidade 2
ausente	OFS_PLAYER_NAME_6	399864	0x000619f8	170	24			H2	390456	OFS_PLAYER_NAME_2	+4 setores	9408	profundidade 2
ausente	OFS_PLAYER_NAME_7	402216	0x00062328	171	24			H2	390456	OFS_PLAYER_NAME_2	+5 setores	11760	profundidade 2
ausente	OFS_PLAYER_NAME_8	404568	0x00062c58	172	24			H2	390456	OFS_PLAYER_NAME_2	+6 setores	14112	profundidade 2
ausente	OFS_ML_PLAYER_NAME	2006288	0x001e9d10	853	32			H1	2005412	OFS_FLAG_SHAPE_COPY_2	mesmo setor	876	profundidade 1
ausente	OFS_ML_PLAYER_NAME_2	2008632	0x001ea638	854	24			H2	1999224		+4 setores	9408	profundidade 1
ausente	OFS_ML_PLAYER_NAME_3	2010984	0x001eaf68	855	24			H1	2012680	OFS_LINK_ML	mesmo setor	-1696	profundidade 1
ausente	OFS_PLAYER_ATTR	2179492	0x002141a4	926	1540			H2	2180328	OFS_PLAYER_ATTR_1	mesmo setor	-836	profundidade 3
ausente	OFS_PLAYER_ATTR_1	2180328	0x002144e8	927	24			H2	2206200	OFS_ML_PLAYER_ATTR_1	-11 setores	-25872	profundidade 2
ausente	OFS_PLAYER_ATTR_2	2182680	0x00214e18	928	24			H2	2206200	OFS_ML_PLAYER_ATTR_1	-10 setores	-23520	profundidade 2
ausente	OFS_PLAYER_ATTR_3	2185032	0x00215748	929	24			H2	2206200	OFS_ML_PLAYER_ATTR_1	-9 setores	-21168	profundidade 2
ausente	OFS_PLAYER_ATTR_4	2187384	0x00216078	930	24			H2	2206200	OFS_ML_PLAYER_ATTR_1	-8 setores	-18816	profundidade 2
ausente	OFS_PLAYER_ATTR_5	2189736	0x002169a8	931	24			H2	2206200	OFS_ML_PLAYER_ATTR_1	-7 setores	-16464	profundidade 2
ausente	OFS_PLAYER_ATTR_6	2192088	0x002172d8	932	24			H2	2206200	OFS_ML_PLAYER_ATTR_1	-6 setores	-14112	profundidade 2
ausente	OFS_PLAYER_ATTR_7	2194440	0x00217c08	933	24			H2	2206200	OFS_ML_PLAYER_ATTR_1	-5 setores	-11760	profundidade 2
ausente	OFS_PLAYER_ATTR_8	2196792	0x00218538	934	24			H2	2206200	OFS_ML_PLAYER_ATTR_1	-4 setores	-9408	profundidade 2
ausente	OFS_PLAYER_ATTR_9	2199144	0x00218e68	935	24			H2	2206200	OFS_ML_PLAYER_ATTR_1	-3 setores	-7056	profundidade 2
ausente	OFS_ML_PLAYER_ATTR	2204112	0x0021a1d0	937	288			H2	2204904		mesmo setor	-792	profundidade 1
ausente	OFS_ML_PLAYER_ATTR_1	2206200	0x0021a9f8	938	24			H2	2204904		mesmo setor	1296	profundidade 1
ausente	OFS_ML_PLAYER_ATTR_2	2208552	0x0021b328	939	24			H2	2206200	OFS_ML_PLAYER_ATTR_1	+1 setor	2352	profundidade 2
