rom	time	slot	soma	posicao	previsto	medido
golden-european-deluxe	0	0	66	0	55	-
golden-european-deluxe	0	1	76	1	44	-
golden-european-deluxe	0	2	80	1	50	-
golden-european-deluxe	0	3	80	2	50	-
golden-european-deluxe	0	4	83	4	54	-
golden-european-deluxe	0	5	78	3	47	-
golden-european-deluxe	0	6	79	5	48	-
golden-european-deluxe	0	7	76	4	44	-
golden-european-deluxe	0	8	86	6	60	-
golden-european-deluxe	0	9	88	6	64	-
golden-european-deluxe	0	10	88	6	64	-
golden-european-deluxe	0	11	58	1	24	-
golden-european-deluxe	0	12	74	1	41	-
golden-european-deluxe	0	13	59	1	26	-
golden-european-deluxe	0	14	57	2	24	-
golden-european-deluxe	0	15	76	3	44	-
golden-european-deluxe	0	16	63	3	30	-
golden-european-deluxe	0	17	65	4	31	-
golden-european-deluxe	0	18	80	5	50	-
golden-european-deluxe	0	19	77	5	46	-
golden-european-deluxe	0	20	78	6	47	-
golden-european-deluxe	0	21	84	6	57	-
golden-european-deluxe	0	22	49	0	30	-
japanese-shift-jis	0	0	44	0	26	26
japanese-shift-jis	0	1	49	1	18	18
japanese-shift-jis	0	2	58	2	24	24
japanese-shift-jis	0	3	69	2	35	35
japanese-shift-jis	0	4	55	2	23	23
japanese-shift-jis	0	5	57	4	24	24
japanese-shift-jis	0	6	63	3	30	30
japanese-shift-jis	0	7	68	3	34	34
japanese-shift-jis	0	8	61	4	27	27
japanese-shift-jis	0	9	66	6	33	33
japanese-shift-jis	0	10	63	4	30	30
japanese-shift-jis	0	11	43	1	15	15
japanese-shift-jis	0	12	51	2	20	20
japanese-shift-jis	0	13	62	2	27	27
japanese-shift-jis	0	14	45	3	16	16
japanese-shift-jis	0	15	54	4	21	21
japanese-shift-jis	0	16	58	5	24	24
japanese-shift-jis	0	17	47	5	17	17
japanese-shift-jis	0	18	61	6	27	27
japanese-shift-jis	0	19	59	6	26	26
japanese-shift-jis	0	20	60	6	27	27
japanese-shift-jis	0	21	36	0	20	20
japanese-shift-jis	0	22	34	0	16	-
japanese-shift-jis	17	0	46	0	28	28
japanese-shift-jis	17	1	48	1	17	17
japanese-shift-jis	17	2	54	1	21	21
japanese-shift-jis	17	3	54	2	21	21
japanese-shift-jis	17	4	51	1	20	20
japanese-shift-jis	17	5	52	3	20	20
japanese-shift-jis	17	6	56	4	24	24
japanese-shift-jis	17	7	62	4	27	27
japanese-shift-jis	17	8	59	5	26	26
japanese-shift-jis	17	9	62	6	27	27
japanese-shift-jis	17	10	67	6	33	33
japanese-shift-jis	17	11	54	1	21	21
japanese-shift-jis	17	12	46	1	17	17
japanese-shift-jis	17	13	55	2	23	23
japanese-shift-jis	17	14	52	2	20	20
japanese-shift-jis	17	15	53	3	21	21
japanese-shift-jis	17	16	54	3	21	21
japanese-shift-jis	17	17	57	5	24	24
japanese-shift-jis	17	18	58	6	24	24
japanese-shift-jis	17	19	57	6	24	24
japanese-shift-jis	17	20	59	6	26	26
japanese-shift-jis	17	21	39	0	21	21
japanese-shift-jis	17	22	44	0	26	-
japanese-shift-jis	2	0	38	0	21	21
japanese-shift-jis	2	1	39	1	13	13
japanese-shift-jis	2	2	44	1	16	16
japanese-shift-jis	2	3	48	1	17	17
japanese-shift-jis	2	4	50	2	20	20
japanese-shift-jis	2	5	55	2	23	23
japanese-shift-jis	2	6	59	3	26	26
japanese-shift-jis	2	7	77	7	46	46
japanese-shift-jis	2	8	64	5	30	30
japanese-shift-jis	2	9	67	6	33	33
japanese-shift-jis	2	10	63	6	30	30
japanese-shift-jis	2	11	44	1	16	16
japanese-shift-jis	2	12	53	2	21	21
japanese-shift-jis	2	13	45	2	16	16
japanese-shift-jis	2	14	51	3	20	20
japanese-shift-jis	2	15	46	3	17	17
japanese-shift-jis	2	16	47	3	17	17
japanese-shift-jis	2	17	50	4	20	20
japanese-shift-jis	2	18	61	7	27	27
