endereco	handler	formulario	componente	evento	grupo	regra	nota
0x00402b40	BitBtn1Click	ficha_dorsal	BitBtn1	OnClick	auxiliar	R6	
0x00402b58	scroll_dorsalChange	ficha_dorsal	scroll_dorsal	OnChange	edicao	EX	
0x00402bc0	FormCreate	ficha_dorsal	ficha_dorsal	OnCreate	carga	R2	
0x00402c44	FormShow	ficha_enlaza	ficha_enlaza	OnShow	carga	R2	
0x00402c54	FormCreate	ficha_enlaza	ficha_enlaza	OnCreate	carga	R2	
0x00402cdc	FormCreate	ficha_warning	ficha_warning	OnCreate	carga	R2	
0x00402d60	FormCreate	ficha_info3	ficha_info3	OnCreate	carga	R2	
0x00402de4	FormCreate	ficha_about	ficha_about	OnCreate	carga	R2	
0x00402de8	imagen_urlClick	ficha_about	imagen_url	OnClick	auxiliar	R6	
0x00402e84	FormCreate	ficha_movertodos	ficha_movertodos	OnCreate	carga	R2	
0x00402f08	FormCreate	ficha_salida	ficha_salida	OnCreate	carga	R2	
0x00402f8c	FormCreate	ficha_info	ficha_info	OnCreate	carga	R2	
0x0040422c	FormCreate	ficha_info4	ficha_info4	OnCreate	carga	R2	
0x00405dcc	FormCreate	ficha_color	ficha_color	OnCreate	carga	R2	
0x00405e40	barraChange	ficha_color	barra_rojo|barra_verde|barra_azul	OnChange|OnChange|OnChange	edicao	R8	WTE-TASK-29
0x00406078	botonClick	ficha_color	boton2|boton1|boton0|boton3	OnClick|OnClick|OnClick|OnClick	auxiliar	EX	
0x00406358	barra1Change	ficha_color	barra1	OnChange	edicao	R8	WTE-TASK-29
0x00406384	barra2Change	ficha_color	barra2	OnChange	edicao	R8	WTE-TASK-29
0x004063b0	gradienteClick	ficha_color	gradiente	OnClick	edicao	R8	WTE-TASK-29
0x004065fc	oscurecerClick	ficha_color	oscurecer	OnClick	edicao	R8	WTE-TASK-29
0x00406744	aclararClick	ficha_color	aclarar	OnClick	edicao	R8	WTE-TASK-29
0x0040688c	lista_col0Change	ficha_color	lista_col0	OnChange	edicao	EX	WTE-TASK-29
0x004068b0	lista_col1change	ficha_color	lista_col1	OnChange	edicao	EX	WTE-TASK-29
