va	tipo	tamanho	texto	suspeita_patch	referenciada_por	handler	copia_de
0x00423000	c	48	Borland C++ - Copyright 2002 Borland Corporation				
0x004230c4	c	18	W11 Team Editor PT		0x004019b5		
0x0042316a	c	53	ABCDEFGHIJKLMNOPQRSTUVWXYZ abcdefghijklmnopqrstuvwxyz		0x0040380f		
0x00423284	c	34	).:;<=>$b@AB?CDTKEPQFGHI?cLMNOdefg				
0x00423a98	c	3	000		0x004072b7		
0x00423b38	c	3	0Rz		0x004074ea		
0x00423d25	c	4	""++				
0x00423d3b	c	4	"+++				
0x00423d67	c	4	""++				0x00423d25
0x00423d83	c	4	K4&B				
0x00423d99	c	4	K(@4				
0x00423daf	c	4	K4&B				0x00423d83
0x00423db7	c	7	U+="F&B				
0x00423dc2	c	7	U4(@4 H				
0x00423dcd	c	7	U+=44 H				
0x00423dda	c	5	M4(@4				
0x00423de6	c	4	M(@4				
0x00423df0	c	5	M(@&B				
0x00423dfc	c	4	M4&B				
0x00423e06	c	5	M44 H				
0x00423e0c	c	10	\x204H+="F4 H				
0x00423e26	c	6	W+="F4				
0x00423e31	c	6	W4(@&B				
0x00423e3c	c	6	W+=4&B				
0x00423f84	c	2	Oa		0x0040bb34|0x0040f429		
0x00424758	c	1	\x20		0x00403490		
0x0042475a	c	1	.		0x004034e9		
0x0042475d	c	1	\x20		0x0040364b		0x00424758
0x0042475f	c	1	\x20		0x004036bb		0x00424758
0x00424761	c	1	.		0x00403718		0x0042475a
0x00424763	c	1	.		0x00403887		0x0042475a
0x00424765	c	1	\x20		0x004038e3		0x00424758
0x00424767	c	37	It's the same player in both teams...		0x00403e61		
0x0042478d	c	48	You need at least 1 memory block free to do that		0x00403eae		
0x004247be	c	11	in another\x20		0x00404c21		
0x004247ca	c	31	\x20different place(s) in the game		0x00404c2f		
0x004247ea	c	8	\\bandera		0x004052c4		
0x004247f3	c	4	.bmp		0x00405304		
0x004247f8	c	3	r+b		0x0040537e		
0x004247fd	c	8	\\bandera		0x00405528		0x004247ea
0x00424806	c	4	.bmp		0x00405568		0x004247f3
0x0042480b	c	3	r+b		0x004055e2		0x004247f8
0x00424810	c	9	\\camiseta		0x00405757		
0x0042481a	c	4	.bmp		0x00405797		0x004247f3
0x0042481f	c	3	r+b		0x00405826		0x004247f8
0x00424824	c	9	\\pantalon		0x0040592a		
0x0042482e	c	4	.bmp		0x0040596a		0x004247f3
0x00424833	c	3	r+b		0x004059f9		0x004247f8
0x00424838	c	5	color		0x00405c27		
0x0042483e	c	5	color		0x00405e9f	ficha_color.barraChange	0x00424838
0x00424844	c	9	lista_col		0x0040612d	ficha_color.botonClick	
0x0042484e	c	9	lista_col		0x004061c0	ficha_color.botonClick	0x00424844
0x00424858	c	9	lista_col		0x00406253	ficha_color.botonClick	0x00424844
0x00424862	c	6	colcop		0x00406b34	ficha_color.colorMouseDown	
0x00424869	c	5	color		0x00406ad0	ficha_color.colorMouseDown	0x00424838
0x0042486f	c	5	color		0x00406daf	ficha_color.colorMouseDown	0x00424838
0x0042491d	c	5	Dire.				
0x00424923	c	4	Esq.				
0x00424928	c	4	Dois				
0x004249aa	c	16	\\careto_base.bmp		0x00406ff8		
0x004249bb	c	3	r+b		0x00407036		0x004247f8
0x004249c1	c	6	\\pelo_		0x00407173		
0x004249c8	c	4	.bmp		0x004071b3		0x004247f3
0x004249cd	c	3	r+b		0x0040722d		0x004247f8
0x004249d3	c	7	\\barba_		0x004073a1		
0x004249db	c	4	.bmp		0x004073e1		0x004247f3
0x004249e0	c	3	r+b		0x0040745b		0x004247f8
